Clima,CedulaCultivos,UsoSuelo,POP,YearPop,Prefix,Branch,Name,Topology,Variable,ObjectType,Year Filter, TimeStep Filter, TagFilter, Stat ,Value,CatchmentImpact,DiversionName
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_PalalaAlta Return,Below D_PalalaAlta Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.86137150805163,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Palala River Inflow,Below Palala River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.19083653310164,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 22,Below Withdrawal Node 22,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.1316517441828,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza2 Runoff,Below Tupiza2 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.15598562759035,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tolonias River Inflow,Below Tolonias River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.25404157072556,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Q_Tupiza Runoff,Below Q_Tupiza Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.25471022537783,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza1 River Inflow,Below Tupiza1 River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.28496550866255,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_LaEsperanza Runoff,Below R_LaEsperanza Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.293645464708,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoLaEsperanza Outflow,Below RiegoLaEsperanza Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.22576082202345,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Yurcuma Return,Below D_Yurcuma Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.22657116195239,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Bolivar Return,Below D_Bolivar Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.22660923732659,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Bolivar Runoff,Below R_Bolivar Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.25235379003216,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoBolivar Outflow,Below RiegoBolivar Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.25235379003216,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 58,Below Withdrawal Node 58,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.25234996519706,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Pajcha River Inflow,Below Pajcha River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.2846791912015,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 41,Below Withdrawal Node 41,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.07116164576878,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_VirgenDeNieves Runoff,Below R_VirgenDeNieves Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.08168142635092,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below PTAR_Tupiza Return,Below PTAR_Tupiza Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.12106219674407,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Tocloca Runoff,Below R_Tocloca Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.16942315275523,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Q_Angostura Runoff,Below Q_Angostura Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.21223905014138,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Angostura Return,Below D_Angostura Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.2122415362842,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza Runoff,Below Tupiza Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,7.22374515082281,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below SanJuanOro Runoff,Below SanJuanOro Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,55.4067896185212,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Estarca River Inflow,Below Estarca River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,60.1181499619834,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below QdaTambilloBajo River Headflow,Below QdaTambilloBajo River Headflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below Endorreica Runoff,Below Endorreica Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,4.63802140410959E-02,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below Endorreico Outflow,Below Endorreico Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,0,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below Caracota Runoff,Below Caracota Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,4.7781414943768E-04,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below Karakhota Outflow,Below Karakhota Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,9.24383127987091E-06,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\QdaTambilloBajo River\Reaches\Below R_SanPedro Runoff,Below R_SanPedro Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,4.80470736131165E-02,D_OroIngenio,
